City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Jasper,US,2022-04-12 18:32:39,37.2001,-94.3502,78.85,61,40,35.68
105,San Quintin,MX,2022-04-12 18:31:24,30.4833,-115.95,62.15,50,0,23.04
106,Padang,ID,2022-04-12 18:32:40,-0.9492,100.3543,75.25,88,79,2.75
107,Foam Lake,CA,2022-04-12 18:32:41,51.65,-103.5343,17.62,81,100,12.41
108,Yellowknife,CA,2022-04-12 18:32:41,62.456,-114.3525,6.42,63,20,11.01
109,Deputatskiy,RU,2022-04-12 18:32:41,69.3,139.9,-1.3,97,100,2.53
110,Cartagena,CO,2022-04-12 18:31:41,10.3997,-75.5144,92.82,52,20,19.57
111,Christiansburg,US,2022-04-12 18:32:42,37.1298,-80.4089,70.32,59,100,6.91
112,Nador,MA,2022-04-12 18:32:42,35.174,-2.9287,64.47,67,40,5.75
113,Narsaq,GL,2022-04-12 18:32:43,60.9167,-46.05,44.82,44,100,11.14
114,Port Elizabeth,ZA,2022-04-12 18:28:20,-33.918,25.5701,67.32,86,0,14.97
115,Touros,BR,2022-04-12 18:32:43,-5.1989,-35.4608,83.5,68,75,12.44
116,Sitka,US,2022-04-12 18:32:44,57.0531,-135.33,39.09,28,20,9.22
117,Mwinilunga,ZM,2022-04-12 18:32:44,-11.7358,24.4293,61.95,96,12,4.05
118,Porto Nacional,BR,2022-04-12 18:32:45,-10.7081,-48.4172,87.8,67,91,2.55
119,Te Anau,NZ,2022-04-12 18:32:45,-45.4167,167.7167,41.27,92,51,1.61
120,Beringovskiy,RU,2022-04-12 18:32:45,63.05,179.3167,18.07,95,100,14.36
121,Houma,US,2022-04-12 18:32:46,29.5958,-90.7195,80.6,78,40,20.71
122,Codrington,AU,2022-04-12 18:32:46,-38.2667,141.9667,49.77,92,50,1.45
123,Atar,MR,2022-04-12 18:32:46,20.5169,-13.0499,86.05,13,77,11.5
124,Isabela,PH,2022-04-12 18:32:47,6.7085,121.9711,73.45,84,73,5.7
125,Santa Clara,CU,2022-04-12 18:32:47,22.4,-79.9667,82.06,51,40,12.66
126,Tura,IN,2022-04-12 18:30:04,25.5198,90.2201,72.18,90,100,4.41
127,Brae,GB,2022-04-12 18:32:48,60.3964,-1.353,43.12,80,100,16.91
128,Butaritari,KI,2022-04-12 18:32:48,3.0707,172.7902,80.56,79,37,13.6
129,Salvador,SV,2022-04-12 18:32:49,13.8333,-88.9167,90.05,27,100,5.41
130,Kaupanger,NO,2022-04-12 18:32:50,61.1845,7.2404,43.29,48,75,2.3
131,Vardo,NO,2022-04-12 18:33:50,70.3705,31.1107,28.38,74,75,16.11
132,Hervey Bay,AU,2022-04-12 18:33:51,-25.2986,152.8535,69.03,91,59,7.0
133,Ouro Preto Do Oeste,BR,2022-04-12 18:33:51,-10.7481,-62.2158,83.55,80,26,3.49
134,Oistins,BB,2022-04-12 18:33:52,13.0667,-59.5333,84.29,61,20,20.71
135,Sheridan,US,2022-04-12 18:30:45,44.8333,-106.9173,18.46,79,100,33.38
136,Lagoa,PT,2022-04-12 18:33:52,39.05,-27.9833,60.71,81,71,20.42
137,Chiredzi,ZW,2022-04-12 18:33:53,-21.05,31.6667,73.58,73,40,5.35
138,Pestretsy,RU,2022-04-12 18:33:53,55.7531,49.6545,44.74,94,2,7.58
139,Broome,US,2022-04-12 18:33:53,42.2506,-75.833,65.7,47,0,10.36
140,Sorland,NO,2022-04-12 18:33:54,67.667,12.6934,39.06,83,91,11.92
141,Chuy,UY,2022-04-12 18:33:54,-33.6971,-53.4616,70.97,45,88,8.88
142,Adrar,MR,2022-04-12 18:33:55,20.5022,-10.0711,87.8,8,89,9.13
143,Esperance,AU,2022-04-12 18:33:55,-33.8667,121.9,64.24,88,96,10.09
144,Tazmalt,DZ,2022-04-12 18:33:55,36.3868,4.3989,62.55,70,83,5.97
145,Chabahar,IR,2022-04-12 18:33:56,25.2919,60.643,81.03,66,0,8.55
146,Ausa,ES,2022-04-12 18:33:56,41.9271,2.2497,58.06,86,100,3.0
147,Banjar,ID,2022-04-12 18:33:57,-8.19,114.9675,75.85,86,100,3.83
148,Mahebourg,MU,2022-04-12 18:33:57,-20.4081,57.7,77.25,88,40,11.5
149,Vila Franca Do Campo,PT,2022-04-12 18:33:39,37.7167,-25.4333,63.01,85,100,9.46
150,Georgetown,MY,2022-04-12 18:30:22,5.4112,100.3354,82.33,94,40,2.3
151,Tadine,NC,2022-04-12 18:33:58,-21.55,167.8833,74.97,75,62,9.64
152,Sinnamary,GF,2022-04-12 18:33:58,5.3833,-52.95,80.69,78,57,12.26
153,Bengkulu,ID,2022-04-12 18:33:59,-3.8004,102.2655,76.48,89,94,2.68
154,Kruisfontein,ZA,2022-04-12 18:33:59,-34.0033,24.7314,65.75,79,99,3.44
155,Itagiba,BR,2022-04-12 18:33:59,-14.2836,-39.8428,88.45,48,48,7.54
156,Ponta Do Sol,PT,2022-04-12 18:34:00,32.6667,-17.1,68.72,70,28,7.65
157,Baykit,RU,2022-04-12 18:34:00,61.67,96.37,16.43,93,100,1.05
158,Vegreville,CA,2022-04-12 18:34:01,53.5001,-112.0518,17.65,57,100,16.11
159,Boende,CD,2022-04-12 18:34:01,-0.2167,20.8667,77.25,73,33,1.21
160,Dongsheng,CN,2022-04-12 18:34:01,39.8161,109.9776,40.44,25,5,20.45
161,Aconibe,GQ,2022-04-12 18:34:02,1.2968,10.9369,69.62,96,82,2.64
162,Talnakh,RU,2022-04-12 18:34:02,69.4865,88.3972,29.21,95,100,15.61
163,Panzhihua,CN,2022-04-12 18:34:03,26.5851,101.7128,62.22,79,0,2.3
164,Parabel,RU,2022-04-12 18:34:03,58.6978,81.4825,31.73,99,100,2.93
165,Tessalit,ML,2022-04-12 18:34:04,20.1986,1.0114,88.63,5,14,11.21
166,Meulaboh,ID,2022-04-12 18:34:04,4.1363,96.1285,77.45,88,83,2.77
167,Kojori,GE,2022-04-12 18:34:05,41.6594,44.7025,35.1,68,23,14.12
168,Newport,GB,2022-04-12 18:34:05,51.5877,-2.9984,56.82,85,99,7.81
169,Dutse,NG,2022-04-12 18:34:06,11.7594,9.3392,84.81,42,88,17.52
170,Seoul,KR,2022-04-12 18:34:06,37.5683,126.9778,58.39,97,100,4.61
171,Lavrentiya,RU,2022-04-12 18:34:07,65.5833,-171.0,17.06,87,100,9.33
