City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
498,Samana,DO,82.36,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
499,Malvern,US,79.02,broken clouds,34.3623,-92.813,Americas Best Value Inn Malvern
500,Sivagiri,IN,79.68,broken clouds,9.3333,77.4333,Sri subbiah pillai residency
502,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
507,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
512,Las Palmas,ES,70.59,few clouds,28.4204,-14.0131,Casillas De Morales 59.
513,Isangel,VU,77.32,overcast clouds,-19.55,169.2667,Tanna Lodge
516,Hualmay,PE,72.75,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
517,Boyolangu,ID,76.17,light rain,-8.1181,111.8935,Yos ega cv
521,Paso De Carrasco,UY,73.85,clear sky,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
523,Viedma,AR,70.2,overcast clouds,-40.8135,-62.9967,Hotel Cristal
531,Dom Pedrito,BR,75.7,clear sky,-30.9828,-54.6731,Hotel Alexandre
541,Russellville,US,75.15,overcast clouds,35.2784,-93.1338,Hampton Inn Russellville
542,Basco,PH,81.05,clear sky,20.4487,121.9702,Nathaniel's Lodge
550,Salinopolis,BR,75.97,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
552,Bandarbeyla,SO,82.33,clear sky,9.4942,50.8122,JABIR HOTEL
553,Robertsport,LR,83.32,broken clouds,6.7533,-11.3686,Kwepunha Retreat
554,Toamasina,MG,75.15,light rain,-18.1667,49.3833,Hotel H1
557,Siocon,PH,78.89,overcast clouds,7.7061,122.1353,ABS Hotel
558,Garut,ID,70.52,overcast clouds,-7.2024,107.8878,favehotel
565,Lahaina,US,75.81,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
571,Camaqua,BR,76.12,clear sky,-30.8511,-51.8122,Bartz Hotel
573,Andros Town,BS,80.56,scattered clouds,24.7,-77.7667,Hanks place
577,Tual,ID,83.86,broken clouds,-5.6667,132.75,Grand Vilia Hotel
585,Baculin,PH,77.86,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
586,Auki,SB,77.2,broken clouds,-8.7676,160.7034,Auki Motel
591,Cap Malheureux,MU,75.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
596,Batticaloa,LK,82.94,scattered clouds,7.7102,81.6924,Grand Star Guest House
598,Gambela,ET,81.32,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
599,Ilhabela,BR,76.57,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
604,Syracuse,IT,71.31,broken clouds,37.0881,15.2792,Hotel Posta
606,Nishihara,JP,75.25,few clouds,26.1842,127.7558,Minshuku Agaihama
608,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
611,Sola,VU,80.71,overcast clouds,-13.8833,167.55,Leumerus Bungalows
613,Tucuman,AR,75.2,few clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
620,Saint-Leu,RE,74.32,overcast clouds,-21.15,55.2833,La Caz Oceane
621,Kisangani,CD,72.52,light rain,0.5167,25.2,Grand Ramela Hotel
624,Gizo,SB,81.54,light rain,-8.103,156.8419,Imagination Island
625,Roebourne,AU,79.3,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
626,Butterworth,MY,82.44,scattered clouds,5.3991,100.3638,Cititel Penang
627,Hamilton,US,80.56,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
632,Longyan,CN,71.22,broken clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
637,Chapada Dos Guimaraes,BR,82.06,overcast clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
638,Nago,JP,76.05,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
642,Eyl,SO,82.49,clear sky,7.9803,49.8164,Amiin Hotel
644,Morondava,MG,76.84,overcast clouds,-20.2833,44.2833,La Case Bambou
645,Goderich,CA,73.72,overcast clouds,43.7501,-81.7165,Harmony Inn
651,Pangkalanbuun,ID,77.05,light rain,-2.6833,111.6167,Grand Kecubung Hotel
652,Havelock,US,79.99,few clouds,34.8791,-76.9013,Sherwood Motel
653,Barddhaman,IN,82.6,scattered clouds,23.25,87.85,Sinclairs Burdwan
655,Lamar,US,76.64,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
656,Okrika,NG,79.41,overcast clouds,4.7416,7.0849,ayo mutiaru f
658,Shache,CN,80.71,broken clouds,38.4167,77.2406,Delong Hotel
659,Pringsewu,ID,74.44,broken clouds,-5.3582,104.9744,Urban Style by Front One
661,Gat,IL,74.39,clear sky,31.61,34.7642,OlusHome
663,Bacungan,PH,79.16,scattered clouds,9.9106,118.7022,Sumayang Property
667,Tura,IN,73.71,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
668,Dzaoudzi,YT,82.29,clear sky,-12.7887,45.2699,Le Rocher
669,Todos Santos,MX,72.25,clear sky,23.45,-110.2167,Guaycura Boutique Hotel Beach Club & Spa
672,Ouesso,CG,81.09,broken clouds,1.6136,16.0517,ABENIE Hotel
673,Itoman,JP,75.22,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
679,Goya,AR,79.57,scattered clouds,-29.14,-59.2626,Apart Costanera Goya
681,Alim,PH,80.92,scattered clouds,9.5649,122.4876,Calamai Tropica
683,Morant Bay,JM,83.71,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
689,Antalaha,MG,75.58,broken clouds,-14.9003,50.2788,Hotel Vitasoa
694,Umm Lajj,SA,78.4,clear sky,25.0213,37.2685,Moon light Furnished Units
696,Paramonga,PE,72.25,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
697,Bafq,IR,82.65,broken clouds,31.6128,55.4107,Alamdar Hotel
698,Inhambane,MZ,76.98,few clouds,-23.865,35.3833,Oceano
710,Laguna De Perlas,NI,78.89,scattered clouds,12.3429,-83.6712,Hotel Best View
713,Ampanihy,MG,77.72,overcast clouds,-24.7,44.75,Angora Hotel
714,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
716,Findlay,US,80.55,overcast clouds,41.0442,-83.6499,Drury Inn & Suites Findlay
